granularity,year,matrix_type,num_nodes,strength_min,strength_max,strength_mean,strength_std,num_communities,num_core_nodes,gamma
economical_county,1980,flows,2697,0.0,4.0,0.099,0.336,2564,2697,3.92
economical_county,1985,flows,2697,0.0,7.0,0.224,0.566,2398,462,4.4
economical_county,1990,flows,2697,0.0,24.0,0.859,1.58,1704,495,3.48
economical_county,1995,flows,2697,0.0,51.0,1.586,2.902,1286,309,3.25
economical_county,2000,flows,2697,0.0,140.0,4.76,8.015,522,278,3.4
economical_county,2005,flows,2697,0.0,127.0,4.355,7.403,551,305,3.15
economical_county,2010,flows,2697,0.0,209.0,7.164,11.582,359,287,3.56
economical_county,2015,flows,2697,0.0,325.0,9.232,16.802,326,284,2.4
economical_county,full,flows,2697,1.0,3753.0,123.583,196.896,9,271,2.33
economical_prefecture,1980,flows,331,0.0,8.0,0.647,1.078,231,47,5.23
economical_prefecture,1985,flows,331,0.0,22.0,1.498,2.175,152,59,3.49
economical_prefecture,1990,flows,331,0.0,63.0,5.716,7.513,45,42,2.79
economical_prefecture,1995,flows,331,0.0,132.0,10.816,15.132,25,34,3.19
economical_prefecture,2000,flows,331,0.0,429.0,31.909,44.115,9,34,3.12
economical_prefecture,2005,flows,331,1.0,425.0,29.069,41.969,6,35,2.93
economical_prefecture,2010,flows,331,0.0,583.0,45.867,62.202,11,35,2.65
economical_prefecture,2015,flows,331,0.0,709.0,56.465,82.56,7,34,2.47
economical_prefecture,full,flows,331,12.0,9930.0,798.363,1090.332,6,34,2.11
economical_province,1980,flows,31,0.0,11.0,4.581,2.693,7,7,3.903
economical_province,1985,flows,31,2.0,29.0,9.484,6.587,4,7,7.392
economical_province,1990,flows,31,9.0,111.0,39.548,24.866,4,4,4.026
economical_province,1995,flows,31,14.0,229.0,75.871,52.129,4,4,8.159
economical_province,2000,flows,31,54.0,609.0,227.419,139.001,5,7,6.529
economical_province,2005,flows,31,30.0,569.0,208.71,132.6,4,5,4.655
economical_province,2010,flows,31,69.0,733.0,308.323,173.501,4,7,9.526
economical_province,2015,flows,31,112.0,956.0,382.774,225.332,3,5,5.955
